
[*] b 766.250000 91.250000 1000.000000
Aresta no percurso em Largura Worth_St, VMi: 2.648521, VMf: 2648.521000
Aresta no percurso em Largura Zampa_Ln, VMi: 13.539580, VMf: 13539.580000
Aresta no percurso em Largura Dr_Tom_Waddell_Pl, VMi: 15.000000, VMf: 15000.000000
Aresta no percurso em Largura ., VMi: 12.000000, VMf: 12000.000000
Aresta no percurso em Largura Perimetral_Leste, VMi: 16.000000, VMf: 16000.000000
Aresta no percurso em Largura Wyman_Ave, VMi: 2.703855, VMf: 2703.855000
Aresta no percurso em Largura Young_St, VMi: 14.528840, VMf: 14528.840000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Yorba_St, VMi: 6.512681, VMf: 6512.681000
Aresta no percurso em Largura Zoo_Rd, VMi: 14.815920, VMf: 14815.920000
Aresta no percurso em Largura ., VMi: 12.000000, VMf: 12000.000000
Aresta no percurso em Largura Yerba_Buena_Ave, VMi: 4.110953, VMf: 4110.953000
Aresta no percurso em Largura Zircon_Pl, VMi: 13.549497, VMf: 13549.497000
Aresta no percurso em Largura Wyman_Ave, VMi: 2.703855, VMf: 2703.855000
Aresta no percurso em Largura Zanowitz_St, VMi: 14.597270, VMf: 14597.270000
Aresta no percurso em Largura Worth_St, VMi: 2.648521, VMf: 2648.521000
Aresta no percurso em Largura Zampa_Ln, VMi: 13.539580, VMf: 13539.580000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Dr_Tom_Waddell_Pl, VMi: 15.000000, VMf: 15000.000000
Aresta no percurso em Largura ., VMi: 12.000000, VMf: 12000.000000
Aresta no percurso em Largura Perimetral_Leste, VMi: 16.000000, VMf: 16000.000000
Aresta no percurso em Largura Young_Ct, VMi: 14.081522, VMf: 14081.522000
Aresta no percurso em Largura Wyman_Ave, VMi: 2.703855, VMf: 2703.855000
Aresta no percurso em Largura Wright_Loop, VMi: 5.986043, VMf: 5986.043000
Aresta no percurso em Largura Young_St, VMi: 14.653777, VMf: 14653.777000
Aresta no percurso em Largura Zoe_St, VMi: 12.798451, VMf: 12798.451000
Aresta no percurso em Largura Yorba_St, VMi: 6.512681, VMf: 6512.681000
Aresta no percurso em Largura Zoo_Rd, VMi: 14.420954, VMf: 14420.954000
Aresta no percurso em Largura ., VMi: 12.000000, VMf: 12000.000000
Aresta no percurso em Largura Zeno_Pl, VMi: 9.512673, VMf: 9512.673000
Aresta no percurso em Largura Yerba_Buena_Ave, VMi: 4.110953, VMf: 4110.953000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Zircon_Pl, VMi: 14.528509, VMf: 14528.509000
Aresta no percurso em Largura Zanowitz_Ave, VMi: 6.783302, VMf: 6783.302000
Aresta no percurso em Largura Wyman_Ave, VMi: 2.703855, VMf: 2703.855000
Aresta no percurso em Largura Wright_Loop, VMi: 5.986043, VMf: 5986.043000
Aresta no percurso em Largura Zanowitz_St, VMi: 14.024461, VMf: 14024.461000
Aresta no percurso em Largura Yukon_St, VMi: 9.941799, VMf: 9941.799000
Aresta no percurso em Largura Worth_St, VMi: 2.648521, VMf: 2648.521000
Aresta no percurso em Largura Worcester_Ave, VMi: 8.772832, VMf: 8772.832000
Aresta no percurso em Largura Zampa_Ln, VMi: 13.238207, VMf: 13238.207000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Dr_Tom_Waddell_Pl, VMi: 15.000000, VMf: 15000.000000
Aresta no percurso em Largura Perimetral_Leste, VMi: 16.000000, VMf: 16000.000000
Aresta no percurso em Largura Perimetral_Leste, VMi: 16.000000, VMf: 16000.000000
Aresta no percurso em Largura Perimetral_Leste, VMi: 16.000000, VMf: 16000.000000
Aresta no percurso em Largura Wright_Loop, VMi: 5.986043, VMf: 5986.043000
Aresta no percurso em Largura Young_St, VMi: 14.653777, VMf: 14653.777000
Aresta no percurso em Largura Zoo_Rd, VMi: 14.420954, VMf: 14420.954000
Aresta no percurso em Largura ., VMi: 12.000000, VMf: 12000.000000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Zircon_Pl, VMi: 14.528509, VMf: 14528.509000
Aresta no percurso em Largura Wright_Loop, VMi: 5.986043, VMf: 5986.043000
Aresta no percurso em Largura Zanowitz_St, VMi: 14.024461, VMf: 14024.461000
Aresta no percurso em Largura Worcester_Ave, VMi: 8.772832, VMf: 8772.832000
Aresta no percurso em Largura Zampa_Ln, VMi: 13.238207, VMf: 13238.207000
Aresta no percurso em Largura Young_Ct, VMi: 11.328721, VMf: 11328.721000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Dr_Tom_Waddell_Pl, VMi: 15.000000, VMf: 15000.000000
Aresta no percurso em Largura Perimetral_Norte, VMi: 25.000000, VMf: 25000.000000
Aresta no percurso em Largura Yukon_St, VMi: 11.783872, VMf: 11783.872000
Aresta no percurso em Largura Wright_Loop, VMi: 5.986043, VMf: 5986.043000
Aresta no percurso em Largura Worth_St, VMi: 2.648521, VMf: 2648.521000
Aresta no percurso em Largura Young_St, VMi: 14.307904, VMf: 14307.904000
Aresta no percurso em Largura Yerba_Buena_Ave, VMi: 4.110953, VMf: 4110.953000
Aresta no percurso em Largura Zoo_Rd, VMi: 14.922639, VMf: 14922.639000
Aresta no percurso em Largura ., VMi: 12.000000, VMf: 12000.000000
Aresta no percurso em Largura Zoe_St, VMi: 6.096481, VMf: 6096.481000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Wyman_Ave, VMi: 2.703855, VMf: 2703.855000
Aresta no percurso em Largura Zircon_Pl, VMi: 14.794167, VMf: 14794.167000
Aresta no percurso em Largura Zeno_Pl, VMi: 14.690059, VMf: 14690.059000
Aresta no percurso em Largura Wright_Loop, VMi: 5.986043, VMf: 5986.043000
Aresta no percurso em Largura Worth_St, VMi: 2.648521, VMf: 2648.521000
Aresta no percurso em Largura Zanowitz_St, VMi: 13.580954, VMf: 13580.954000
Aresta no percurso em Largura Zanowitz_Ave, VMi: 9.195858, VMf: 9195.858000
Aresta no percurso em Largura Worcester_Ave, VMi: 8.772832, VMf: 8772.832000
Aresta no percurso em Largura Palace_Dr, VMi: 8.772832, VMf: 8772.832000
Aresta no percurso em Largura ., VMi: 18.750000, VMf: 18750.000000
Aresta no percurso em Largura Dr_Tom_Waddell_Pl, VMi: 15.000000, VMf: 15000.000000
Aresta no percurso em Largura ., VMi: 18.750000, VMf: 18750.000000
Aresta no percurso em Largura Perimetral_Norte, VMi: 25.000000, VMf: 25000.000000
Aresta no percurso em Largura Worth_St, VMi: 2.648521, VMf: 2648.521000
Aresta no percurso em Largura Young_St, VMi: 14.307904, VMf: 14307.904000
Aresta no percurso em Largura Yerba_Buena_Ave, VMi: 4.110953, VMf: 4110.953000
Aresta no percurso em Largura Zoo_Rd, VMi: 14.922639, VMf: 14922.639000
Aresta no percurso em Largura ., VMi: 12.000000, VMf: 12000.000000
Aresta no percurso em Largura Wyman_Ave, VMi: 2.703855, VMf: 2703.855000
Aresta no percurso em Largura Zircon_Pl, VMi: 14.794167, VMf: 14794.167000
Aresta no percurso em Largura Worth_St, VMi: 2.648521, VMf: 2648.521000
Aresta no percurso em Largura Zanowitz_St, VMi: 13.580954, VMf: 13580.954000
Aresta no percurso em Largura Palace_Dr, VMi: 8.772832, VMf: 8772.832000
Aresta no percurso em Largura ., VMi: 18.750000, VMf: 18750.000000
Aresta no percurso em Largura Perimetral_Norte, VMi: 25.000000, VMf: 25000.000000
Aresta no percurso em Largura Wright_Loop, VMi: 5.986043, VMf: 5986.043000
Aresta no percurso em Largura Dr_Tom_Waddell_Pl, VMi: 15.000000, VMf: 15000.000000
Aresta no percurso em Largura ., VMi: 18.750000, VMf: 18750.000000
Aresta no percurso em Largura Perimetral_Norte, VMi: 25.000000, VMf: 25000.000000
Aresta no percurso em Largura Young_Ct, VMi: 8.831633, VMf: 8831.633000
Aresta no percurso em Largura Worth_St, VMi: 2.648521, VMf: 2648.521000
Aresta no percurso em Largura Worcester_Ave, VMi: 8.772832, VMf: 8772.832000
Aresta no percurso em Largura Young_St, VMi: 14.598202, VMf: 14598.202000
Aresta no percurso em Largura Zoe_St, VMi: 10.741873, VMf: 10741.873000
Aresta no percurso em Largura Yerba_Buena_Ave, VMi: 4.110953, VMf: 4110.953000
Aresta no percurso em Largura Zoo_Rd, VMi: 14.204488, VMf: 14204.488000
Aresta no percurso em Largura ., VMi: 12.000000, VMf: 12000.000000
Aresta no percurso em Largura Zeno_Pl, VMi: 14.594563, VMf: 14594.563000
Aresta no percurso em Largura Wyman_Ave, VMi: 2.703855, VMf: 2703.855000
Aresta no percurso em Largura Wright_Loop, VMi: 5.986043, VMf: 5986.043000
Aresta no percurso em Largura Zircon_Pl, VMi: 14.792728, VMf: 14792.728000
Aresta no percurso em Largura Zanowitz_Ave, VMi: 8.954238, VMf: 8954.238000
Aresta no percurso em Largura Worth_St, VMi: 2.648521, VMf: 2648.521000
Aresta no percurso em Largura Worcester_Ave, VMi: 8.772832, VMf: 8772.832000
Aresta no percurso em Largura Zanowitz_St, VMi: 14.270830, VMf: 14270.830000
Aresta no percurso em Largura Palace_Dr, VMi: 8.772832, VMf: 8772.832000
Aresta no percurso em Largura Yukon_St, VMi: 7.298951, VMf: 7298.951000
Aresta no percurso em Largura ., VMi: 18.750000, VMf: 18750.000000
Aresta no percurso em Largura ., VMi: 18.750000, VMf: 18750.000000
Aresta no percurso em Largura Perimetral_Norte, VMi: 25.000000, VMf: 25000.000000
